"Record ID","Repeat Instrument","Repeat Instance","Study is Currently Recruiting",Complete?,"Age (years) - Minimum","Gender (check all that are eligible) (choice=Male)","Gender (check all that are eligible) (choice=Female)","Gender (check all that are eligible) (choice=Transgender)","Healthy Volunteer - Eligibility",Complete?,Condition,Severity,"Duration of condition","Inclusion or Exclusion",Complete?,Medication,"Last Taken","Allergy or Hypersensitivity to the Medication","Inclusion or Exclusion",Complete?,"Lab Test","Normal Status",Abnormal,Include,Complete?,"Inclusion or Exclusion",Complete?,Procedure,Status,"Inclusion or Exclusion",Complete?
1,,,Yes,Complete,18,Checked,Checked,Unchecked,No,Complete,,,,,,,,,,,,,,,,,,,,,
1,Conditions,1,,,,,,,,,"Diabetes Mellitus, Non-Insulin-Dependent (C0011860)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,2,,,,,,,,,"Hypertensive disease (C0020538)",,,Inclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,3,,,,,,,,,"Diabetes Mellitus, Insulin-Dependent (C0011854)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,4,,,,,,,,,"Patient currently pregnant (C0549206)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,5,,,,,,,,,"Breastfeeding (mother) (C1623040)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,6,,,,,,,,,"Myocardial Infarction (C0027051)",,"Less than 6 month",Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,7,,,,,,,,,"Angina Pectoris (C0002962)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,8,,,,,,,,,"Cardiac Arrhythmia (C0003811)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,9,,,,,,,,,"Congestive heart failure (C0018802)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,10,,,,,,,,,"Deep Vein Thrombosis (C0149871)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
1,Conditions,11,,,,,,,,,"Pulmonary Embolism (C0034065)",,,Exclusion,Complete,,,,,,,,,,,,,,,,
